APN,PROJECT NUMBER,NAME,DEVELOPMENT STAGE,CONSTRUCTION TYPE,SITE ADDRESS,SITE  COUNCIL DISTRICT,SITE #,SITE COMMUNITY,SITE UNITS,PROJECT TOTAL UNITS,HOUSING TYPE,SUPPORTIVE HOUSING,SH UNITS PER SITE,DATE FUNDED,LAHD FUNDED,LEVERAGE,TAX EXEMPT CONDUIT BOND,TDC,IN-SERVICE DATE,DEVELOPER,MANAGEMENT COMPANY,CONTACT PHONE,PHOTO,JOBS,PROJECT SUMMARY URL,CONTRACT NUMBERS,DATE STAMP,SITE LONGITUDE,SITE LATITUDE,GPS_COORDS ON MAP
5143020023,02-118256,SAN LUCAS APARTMENTS,In-Service,NEW CONSTRUCTION,"1221 W 7TH ST  Los Angeles, CA 90017",1,1,WESTLAKE,196,196,SENIORS,No,0,11/29/2001,0,0,0,0,2003,N/A,GSL PROPERRTY MANAGEMENT,N/A,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=02-118256&LutSiteCD=1),,2024-08-05T00:00:00.000,-118.26584,34.05235,POINT (-118.26584 34.05235)
5050011005,05-117193,LEEWARD APTS. (SITE 7),In-Service,REHAB,"2809 S WEST BLVD  Los Angeles, CA 90016",10,7,CRENSHAW DISTRICT,0,257,FAMILY,No,0,05/02/2005,0,7103994,10208936,17312930,2006,"HAMPSTEAD PARTNERS, INC.","ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=05-117193&LutSiteCD=7),,2024-08-05T00:00:00.000,-118.34182,34.03071,POINT (-118.34182 34.03071)
5114014020,14-121652,FLORENCE MILLS (SITE 5),In-Service,NEW CONSTRUCTION,"1037 E MARTIN LUTHER KING BLVD  LOS ANGELES, CA 90011",9,5,CENTRAL,0,74,SPECIAL NEEDS,Yes,0,12/17/2018,9389115.63,36081992,0,45471107.63,2021,Hollywood Community Housing Corporation,BARKER MANAGEMENT INCORPORATED,(714) 533-3450,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),226,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=14-121652&LutSiteCD=5),C-129358,2024-08-05T00:00:00.000,-118.2574,34.01115,POINT (-118.2574 34.01115)
4012018025,60013,MORGAN PLACE SENIOR APTS.,In-Service,NEW CONSTRUCTION,"7305 S CRENSHAW BLVD  Los Angeles, CA 90043",8,1,HYDE PARK,55,55,SENIORS,No,0,04/02/2007,5281147,8428737,0,13709884,2009,Abode Communities previously known as LA COMMUNITY DESIGN CENTER,ABODE COMMUNITIES,(213) 225-2772,click here (http://hcidapp.lacity.org/mpphotos/060013/Photo/Website/CD%208%20-%20Morgan%20Place%20Sr.%20Apts..jpg),110,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=060013&LutSiteCD=1),C-111486,2024-08-05T00:00:00.000,-118.33139,33.97355,POINT (-118.33139 33.97355)
5153030026,50036,WITMER HEIGHTS,In-Service,N/A,"116 S WITMER ST  Los Angeles, CA 90026",13,1,TEMPLE-BEAUDRY,49,49,FAMILY,No,0,01/19/2006,2846000,10865989,0,13711989,2008,"AMERICAN COMMUNITIES, LLC",THE JOHN STEWART COMPANY,(213) 482-9122,click here (http://hcidapp.lacity.org/mpphotos/050036/Photo/Website/CD%2013%20-%20Witmer%20Heights.jpg),95,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=050036&LutSiteCD=1),C-109452,2024-08-05T00:00:00.000,-118.26086,34.06173,POINT (-118.26086 34.06173)
5127029049,18-125459,LA PRENSA LIBRE- 9% (FKA WASHINGTON/ LA),In-Service,NEW CONSTRUCTION,"200 E WASHINGTON BLVD  Los Angeles, CA 90015",9,1,UNIVERSITY PARK,42,42,FAMILY,No,0,11/12/2020,1651192,29619133,0,31270325,2024,Coalition for Responsible Community Development (CRCD),"FPI MANAGEMENT, INC.",(916) 357-5312 x434,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-125459&LutSiteCD=1),C-137346,2024-08-05T00:00:00.000,-118.26348,34.03031,POINT (-118.26348 34.03031)
5037025018,14-121612,KING 1101,In-Service,NEW CONSTRUCTION,"1107 W MARTIN LUTHER KING BLVD  Los Angeles, CA 90037",8,1,EXPOSITION PARK,26,26,SPECIAL NEEDS,Yes,25,07/20/2016,4130000,12303276,0,16433276,2018,"Clifford Beers Housing, Inc.","LEVINE MANAGEMENT GROUP, INC",(310) 358-3489,click here (http://hcidapp.lacity.org/mpphotos/14-121612/Photo/Website/King%201101%20Apts..jpg),85,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=14-121612&LutSiteCD=1),C-127889,2024-08-05T00:00:00.000,-118.29437,34.01106,POINT (-118.29437 34.01106)
5119011019,13-120909,ROBERTA STEPHENS VILLAS I & II (RECAP) (SITE 2),In-Service,ACQUISITION + REHAB,"1113 E 27TH ST  Los Angeles, CA 90011",9,2,CENTRAL,0,40,SENIORS,No,0,12/22/2014,0,3360040,1995093,5355133,2016,"CP Preservation Housing, LLC",CONCERNED CITIZENS OF SOUTH CENTRAL LOS ANGELES,(323) 846-2500,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),32,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=13-120909&LutSiteCD=2),C-83407,2024-08-05T00:00:00.000,-118.25506,34.01791,POINT (-118.25506 34.01791)
4286030020,24-131812,ADDA & PAUL SAFRAN SENIOR HOUSING(RECAP),,ACQUISITION + REHAB,187 S OCEAN FRONT WALK CA 90291,11,1,VENICE,63,63,SENIORS,No,0,,0,0,0,0,Development,N/A,N/A,N/A,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=24-131812&LutSiteCD=1),,2024-08-05T00:00:00.000,-118.48136,33.99577,POINT (-118.48136 33.99577)
5110025032,10-117556,SUNRISE APARTMENTS,In-Service,N/A,"5125 S MAIN ST 1-46  Los Angeles, CA 90037",9,1,SOUTH PARK,46,46,N/A,No,0,11/29/2010,2202568,11040406,0,13242974,2012,"AMCAL Multi-Housing, Inc(App)",THE JOHN STEWART COMPANY,(213) 787-2710,click here (http://hcidapp.lacity.org/mpphotos/10-117556/Photo/Website/10-117556.JPG),91,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=10-117556&LutSiteCD=1),C-118282,2024-08-05T00:00:00.000,-118.27429,33.99607,POINT (-118.27429 33.99607)
