State/UT,Area,Current_Smoke,Students_Notices_Anti_Tobacco,Students_Notices_Ads,In_Favor_Tobacco_Free_Schools
India,Total,24.6,184.0,130.9,406.79999999999995
India,Urban,16.3,194.29999999999998,139.5,420.9
India,Rural,26.9,181.0,128.3,402.59999999999997
Andaman and Nicobar Islands,Total,11.800000000000002,201.2,124.69999999999999,359.19999999999993
Andaman and Nicobar Islands,Urban,9.3,168.8,125.2,342.9
Andaman and Nicobar Islands,Rural,13.600000000000001,222.10000000000002,124.39999999999999,380.0
Andhra Pradesh,Total,7.4,164.89999999999998,142.49999999999997,246.5
Andhra Pradesh,Urban,2.0999999999999996,167.89999999999998,159.0,284.8
Andhra Pradesh,Rural,9.9,163.3,133.70000000000002,225.7
Arunachal Pradesh,Total,243.90000000000003,298.90000000000003,132.4,364.4
Arunachal Pradesh,Urban,244.39999999999998,331.9,134.9,367.0
Arunachal Pradesh,Rural,243.30000000000004,242.60000000000002,127.80000000000001,343.7
Assam,Total,35.0,192.60000000000002,110.0,393.9
Assam,Urban,19.6,182.0,151.5,393.1
Assam,Rural,36.3,193.6,106.5,396.49999999999994
Bihar,Total,19.3,175.0,144.10000000000002,436.19999999999993
Bihar,Urban,23.5,246.20000000000005,197.0,517.0
Bihar,Rural,18.999999999999996,170.9,140.9,430.0
Chandigarh,Total,7.8999999999999995,187.6,160.89999999999998,479.9
Chandigarh,Urban,7.9,191.2,164.1,483.1
Chandigarh,Rural,8.2,111.39999999999999,94.4,397.0
Chhattisgarh,Total,24.2,208.2,133.9,410.4
Chhattisgarh,Urban,22.0,203.79999999999998,131.29999999999998,456.20000000000005
Chhattisgarh,Rural,24.599999999999998,209.3,134.5,393.69999999999993
Dadra and Nagar Haweli,Total,7.699999999999999,196.29999999999998,115.80000000000001,412.0
Dadra and Nagar Haweli,Urban,7.000000000000001,179.29999999999998,141.8,424.90000000000003
Dadra and Nagar Haweli,Rural,8.100000000000001,204.4,103.39999999999999,405.9
Daman and Diu,Total,13.899999999999999,185.70000000000002,118.2,430.3
Daman and Diu,Urban,5.6000000000000005,176.4,121.5,453.69999999999993
Daman and Diu,Rural,17.9,190.1,116.60000000000001,416.0
Delhi,Total,22.0,214.7,184.40000000000003,455.0
Delhi,Urban,22.3,213.7,183.79999999999998,448.3
Delhi,Rural,13.599999999999998,241.0,201.20000000000002,521.4
Goa,Total,5.9,156.5,146.8,456.1
Goa,Urban,5.2,154.1,138.6,451.4
Goa,Rural,6.3,158.0,152.0,459.59999999999997
Gujarat,Total,19.0,212.3,104.39999999999999,443.3
